age,duration,campaign,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,y
51,160,2,0,0,6,0,1,0,1,6,4,1,0
36,386,3,2,1,6,0,0,0,1,6,4,1,0
46,201,2,7,1,3,0,1,0,0,0,4,1,0
30,244,3,4,2,6,0,0,0,0,0,4,1,0
33,369,3,0,1,6,0,0,0,0,9,1,1,1
36,264,1,0,1,3,0,1,1,0,6,1,2,0
27,48,2,10,2,2,0,0,0,0,0,0,0,0
37,73,3,7,1,3,0,1,1,1,6,2,1,0
50,550,5,2,1,3,0,1,1,0,6,0,0,0
37,130,1,7,1,3,0,1,0,0,6,4,1,0
26,170,1,9,2,6,0,1,0,0,0,2,1,0
31,91,2,3,1,0,0,0,0,1,4,4,1,0
30,36,5,0,2,3,0,1,0,0,6,2,0,0
33,307,1,0,1,3,0,0,0,1,6,4,1,0
49,260,1,0,1,6,0,1,0,0,1,2,1,0
49,170,2,1,1,2,0,1,0,1,6,4,1,0
31,191,1,9,2,3,0,0,0,0,1,3,1,0
30,154,2,10,1,2,0,0,0,0,3,0,1,0
29,404,1,9,1,6,0,1,0,0,3,0,1,0
41,264,1,9,1,5,0,1,1,0,1,0,1,0
40,36,5,0,1,6,0,0,0,0,1,1,1,0
41,122,1,1,0,0,0,1,0,1,4,4,1,0
42,173,2,1,1,2,0,0,0,1,6,1,1,0
37,115,4,7,1,3,0,0,0,1,4,0,1,0
34,407,3,0,1,6,0,1,0,0,6,0,0,1
51,48,1,7,2,1,0,1,0,0,3,0,1,0
39,61,2,3,1,3,0,1,0,1,6,0,1,0
33,207,1,9,0,3,0,0,0,1,6,3,1,0
39,281,1,1,0,3,0,0,0,1,6,1,1,0
27,244,2,6,2,6,0,1,0,1,4,0,1,0
36,310,5,4,2,6,0,0,0,0,3,1,1,0
43,550,1,6,1,6,0,1,1,1,4,4,1,0
42,95,2,6,1,6,0,0,1,0,3,1,1,0
35,375,1,4,1,6,0,0,0,0,0,2,1,1
28,300,1,0,2,3,0,1,0,0,5,0,1,1
47,322,1,1,0,2,0,0,1,1,6,0,1,0
55,142,1,0,2,6,0,0,0,0,7,1,1,0
34,245,5,7,1,3,0,0,0,0,6,3,1,0
34,87,1,1,1,0,0,1,0,0,7,3,1,0
44,136,5,6,1,2,0,0,0,0,1,1,1,0
39,218,2,1,1,6,0,0,0,1,3,4,1,0
49,249,2,7,1,3,0,0,0,1,6,4,1,0
36,90,2,1,2,3,0,0,0,1,6,1,1,0
37,179,5,4,1,6,0,0,1,1,4,1,1,0
37,356,1,0,1,6,0,1,0,0,1,3,1,0
40,550,3,0,2,3,0,1,0,0,3,3,1,0
55,268,1,9,1,6,0,0,0,0,8,1,0,0
49,36,3,1,1,0,0,1,0,0,1,0,1,0
53,304,2,0,2,6,0,1,0,0,4,0,2,1
55,171,3,1,1,3,0,0,0,1,4,3,1,0
43,261,3,9,1,1,0,1,0,1,6,4,1,0
54,550,1,2,1,5,0,0,0,0,7,3,1,1
51,334,2,0,0,3,0,1,1,0,7,3,0,1
35,123,1,1,0,0,0,1,0,0,3,3,1,0
53,120,1,0,1,6,0,0,0,1,3,0,1,0
53,68,1,2,0,6,0,1,0,0,7,1,1,0
34,332,3,0,0,6,0,1,0,1,3,2,0,1
50,550,4,3,0,3,0,1,0,1,4,4,1,0
39,144,5,0,1,6,0,0,0,0,1,2,1,0
27,41,1,8,2,3,0,1,0,0,6,3,1,0
27,137,2,4,2,6,0,1,0,0,9,3,2,0
44,106,1,1,2,0,0,1,0,1,6,2,1,0
29,157,2,6,1,6,0,0,0,0,7,2,1,0
42,72,2,1,1,0,0,1,0,1,6,0,1,0
31,550,1,9,2,3,0,1,0,0,0,0,0,0
29,263,2,9,1,5,0,0,0,0,3,4,1,0
55,550,1,5,1,6,0,1,0,1,6,0,1,0
28,315,1,6,2,6,0,0,1,0,6,1,1,1
28,390,1,1,1,2,0,1,0,0,6,3,1,1
40,246,4,7,1,3,0,0,0,0,6,4,0,0
35,36,5,0,1,3,0,0,0,1,6,4,1,0
36,254,2,7,2,3,0,0,0,0,3,0,1,0
36,190,1,1,1,1,0,1,0,1,6,1,1,0
49,263,1,0,1,3,0,1,1,0,3,1,1,0
47,139,2,0,1,6,0,0,1,1,6,3,1,0
29,220,3,0,1,6,0,0,1,0,1,2,1,0
35,192,5,1,0,2,0,0,1,1,6,0,1,0
33,110,4,0,1,5,0,0,0,1,4,0,1,0
28,318,1,7,2,3,0,1,0,1,6,1,1,0
44,550,1,9,1,5,0,0,0,1,6,1,1,0
34,257,2,4,2,6,0,0,0,0,3,2,1,0
48,66,2,0,0,3,0,0,0,1,6,2,1,0
38,436,1,9,1,5,0,0,0,1,6,2,1,0
39,297,1,7,1,3,0,0,0,0,3,3,1,0
35,36,5,1,2,0,0,0,0,0,6,0,1,0
26,200,2,0,2,6,0,1,0,0,3,1,1,0
48,64,1,0,1,3,0,1,1,0,3,2,1,0
41,190,5,1,1,2,0,1,1,0,6,1,1,0
37,550,2,1,1,1,0,0,0,0,6,2,1,0
38,267,1,9,2,6,0,1,0,1,4,3,1,0
45,397,1,1,1,0,0,0,1,0,6,3,1,0
45,550,2,1,1,1,0,1,0,0,7,1,1,1
36,176,1,8,2,2,0,1,0,1,4,2,1,0
45,550,1,1,1,0,0,1,1,1,4,3,1,0
45,69,5,0,0,6,0,1,1,0,7,0,1,0
35,88,1,0,0,3,0,1,0,0,6,1,0,0
40,550,2,1,1,0,0,0,0,1,4,1,1,0
38,195,1,10,1,0,0,0,0,0,3,3,1,0
39,189,1,0,1,3,0,1,0,1,0,3,1,0
52,208,1,3,1,1,0,1,0,0,1,0,1,0
37,277,1,2,1,2,0,0,0,0,6,1,2,0
33,61,2,0,2,3,0,1,0,0,8,1,0,0
33,382,2,0,2,6,0,1,0,0,0,0,1,0
49,282,1,1,1,0,0,1,0,1,6,2,1,0
38,36,5,0,1,3,0,1,0,0,6,0,0,0
34,286,5,9,1,5,0,1,0,0,1,2,1,0
38,276,1,1,1,2,0,1,0,0,6,3,0,0
55,141,1,6,1,2,0,1,0,0,1,2,1,0
30,417,1,10,1,3,0,0,0,0,6,1,2,1
26,413,1,8,2,5,0,1,0,0,0,2,1,1
36,322,2,9,1,6,0,1,0,1,6,3,1,0
40,59,1,9,1,2,0,0,0,0,7,4,1,0
29,89,2,7,1,6,0,0,1,0,4,0,1,0
29,166,1,1,1,2,0,1,0,0,3,1,1,0
46,36,1,0,1,3,0,1,0,0,0,1,1,0
51,222,1,0,1,3,0,0,1,1,4,2,1,0
27,306,2,7,2,3,0,1,0,0,3,1,1,0
55,504,1,4,1,6,0,1,0,0,6,1,1,0
29,101,1,9,2,6,0,1,0,0,4,4,1,0
43,154,2,1,0,0,0,0,0,1,6,2,1,0
34,104,3,9,0,5,0,1,0,0,1,3,1,0
27,171,5,9,2,2,0,0,0,0,3,0,1,0
53,186,1,4,1,6,0,1,0,0,7,2,1,0
44,36,5,0,2,5,0,1,0,1,7,2,1,0
30,74,1,1,1,1,0,1,1,0,7,2,1,0
32,206,1,0,2,6,0,1,0,0,1,2,1,0
30,550,4,9,2,3,0,0,0,0,1,1,1,1
46,51,1,0,0,6,0,1,0,0,3,2,1,0
39,186,1,7,0,3,0,0,0,0,6,2,1,0
28,174,1,9,0,5,0,1,0,1,6,2,1,0
34,243,1,0,1,6,0,1,0,0,3,2,1,0
50,550,3,1,1,0,0,0,0,0,3,1,1,1
55,386,1,9,1,6,0,1,0,1,6,1,1,0
27,193,1,7,2,3,0,1,0,0,6,2,1,0
32,52,5,9,2,5,0,0,0,0,3,3,1,0
29,141,2,0,2,6,0,0,0,1,6,2,1,0
42,36,5,7,2,3,0,1,0,0,6,1,0,0
26,300,3,1,2,3,0,1,0,1,6,1,0,0
52,85,2,3,1,0,0,1,1,0,1,1,1,0
47,182,1,9,0,3,0,1,0,0,7,1,0,1
43,393,2,1,1,2,0,1,1,0,3,3,1,0
36,232,3,9,1,5,0,1,0,1,6,1,1,0
35,92,2,9,2,3,0,1,0,1,4,1,1,0
55,154,1,4,1,6,0,0,1,1,3,4,1,0
55,303,2,10,1,6,0,1,0,0,7,2,1,0
55,107,2,7,2,3,0,0,1,0,6,4,1,0
45,226,1,0,1,6,0,1,0,0,1,1,1,0
30,191,1,9,1,6,0,0,0,1,6,3,1,0
30,168,2,1,0,2,0,1,0,0,3,3,1,0
55,441,1,0,1,3,0,1,0,0,7,0,1,0
50,286,1,2,1,0,0,1,0,0,7,3,1,0
26,151,2,1,2,2,0,1,0,0,3,0,1,0
33,546,2,0,2,6,0,0,0,0,3,1,1,0
34,248,3,1,1,1,0,0,0,1,6,2,1,0
34,36,1,0,1,3,0,1,0,1,3,2,0,0
29,354,1,9,2,6,0,0,0,0,0,1,1,0
37,288,2,3,2,6,0,0,0,0,6,0,1,1
26,55,1,7,2,5,0,1,0,0,3,4,1,0
55,189,2,5,1,1,0,0,0,0,1,2,2,0
35,343,2,1,1,2,0,0,0,1,6,2,1,0
26,297,1,1,2,2,0,0,0,0,6,1,1,0
33,376,1,1,1,1,0,1,0,0,3,3,1,0
32,36,5,7,1,3,0,1,1,0,0,1,0,0
41,174,1,6,1,0,0,0,0,1,4,1,1,0
37,80,1,9,0,5,0,0,0,0,1,3,1,0
44,181,5,1,1,5,0,0,0,0,3,3,1,0
55,115,3,5,1,3,0,0,0,0,1,4,1,0
31,164,1,2,1,6,0,0,0,0,8,2,1,1
55,79,1,5,1,0,0,0,0,0,7,3,1,0
31,95,5,0,2,6,0,1,1,0,1,2,1,0
43,270,2,10,1,2,0,0,0,0,9,0,2,1
55,207,1,5,1,6,0,0,0,1,6,2,1,0
34,69,1,9,1,6,0,1,0,0,6,2,1,0
33,202,2,1,2,3,0,1,0,1,6,4,1,0
41,172,1,4,1,6,0,0,0,1,6,3,1,0
50,146,1,4,1,6,0,0,0,0,7,2,0,0
31,91,4,1,1,1,0,0,0,1,4,4,1,0
47,463,2,4,1,0,0,0,0,1,6,0,1,0
49,141,1,2,1,3,0,0,0,0,6,3,1,0
55,274,5,6,1,5,0,1,0,0,0,1,1,0
47,408,2,0,1,6,0,0,0,1,6,1,1,0
46,243,4,0,1,6,0,1,0,1,6,1,1,0
26,550,1,4,2,6,0,0,0,0,6,2,1,1
41,402,1,6,1,6,0,0,0,1,6,3,1,0
40,198,3,9,1,5,0,1,0,0,1,1,1,0
47,176,1,7,1,3,0,0,0,0,6,2,1,0
27,130,1,0,2,6,0,0,0,0,3,1,1,0
30,333,5,9,1,5,0,0,0,0,3,3,1,0
42,156,1,0,1,6,0,1,1,0,3,3,1,0
39,58,1,9,2,5,0,1,0,0,7,3,1,0
29,290,1,0,2,3,0,0,0,0,6,4,1,0
46,445,2,1,1,0,0,1,0,1,6,1,1,0
41,55,1,0,1,6,0,1,0,1,6,2,1,0
36,85,1,3,1,0,0,0,0,1,6,1,1,0
52,114,5,0,1,3,0,0,0,0,1,4,1,0
32,154,1,0,1,3,0,1,0,0,3,4,1,0
31,36,5,7,2,3,0,1,0,1,6,0,1,0
45,134,1,1,1,1,0,1,0,0,1,4,1,0
48,132,1,3,1,0,0,1,0,0,1,1,1,0
32,550,2,0,2,3,0,0,0,1,6,1,1,0
33,133,4,0,1,3,0,0,0,0,7,2,1,0
41,153,2,2,2,3,0,1,0,1,3,2,1,0
53,274,2,9,1,3,0,1,0,1,6,4,1,0
51,547,3,7,1,6,0,0,0,0,1,0,1,0
26,306,1,0,2,6,0,0,0,0,8,0,1,1
27,350,1,1,2,1,0,0,0,1,6,1,1,0
31,144,2,9,1,5,0,1,0,0,7,2,1,0
44,345,5,1,1,0,0,0,0,0,3,3,1,0
35,36,1,1,1,2,0,1,0,1,6,2,1,0
44,272,2,1,1,0,0,0,0,1,6,3,1,0
41,124,1,1,1,5,0,0,0,0,7,3,1,0
34,379,2,9,1,5,0,1,1,0,7,0,1,0
34,178,1,1,1,2,0,1,0,0,6,1,1,0
43,550,1,4,1,6,0,1,0,0,6,0,1,1
39,143,1,1,0,2,0,0,0,1,6,4,1,0
46,550,3,9,0,6,0,0,0,1,4,0,1,0
35,354,1,9,0,5,0,0,0,0,6,0,1,1
47,55,1,7,1,3,0,1,1,1,4,4,1,0
27,52,4,4,2,6,0,0,0,0,6,1,1,0
37,547,1,0,1,3,0,0,0,0,6,1,1,0
52,397,1,1,1,2,0,1,0,1,6,2,1,0
43,141,2,1,1,2,0,1,0,1,6,4,1,0
31,76,4,0,2,6,0,1,0,0,1,0,1,0
29,67,1,0,2,6,0,1,0,0,1,3,1,0
43,126,2,0,1,3,0,1,0,0,6,0,0,0
47,39,3,2,2,6,0,1,0,1,4,0,1,0
45,156,1,10,0,0,0,1,0,0,1,4,1,0
39,181,1,1,1,0,0,0,0,0,6,1,1,0
36,550,2,0,1,3,0,1,0,0,3,3,1,0
26,293,2,7,2,2,0,0,0,0,0,1,1,0
28,60,3,0,1,3,0,0,0,0,3,3,1,0
48,365,1,7,0,3,0,1,0,0,0,1,1,0
43,75,1,4,1,6,0,0,0,0,1,1,1,0
37,220,2,0,2,6,0,0,1,0,1,1,1,0
55,281,3,5,0,5,0,1,0,0,6,4,1,0
31,108,3,2,1,1,0,1,0,1,6,0,1,0
55,107,5,9,2,6,0,1,0,0,1,4,1,0
44,464,3,7,1,3,0,0,0,0,1,2,1,0
55,236,2,4,0,6,0,1,1,1,4,3,1,0
26,237,5,0,2,3,0,0,0,1,4,2,1,0
43,83,1,5,1,3,0,1,0,0,7,0,1,0
34,232,2,1,1,2,0,1,0,1,4,0,1,0
48,550,4,0,1,3,0,0,0,0,7,4,1,1
32,324,2,0,0,3,0,1,0,1,6,0,1,0
38,202,3,9,2,5,0,1,0,0,6,1,0,0
37,133,4,0,2,6,0,0,1,0,3,3,1,0
29,104,2,0,2,6,0,1,0,0,6,0,1,0
42,68,2,0,1,6,0,0,0,0,1,4,1,0
52,36,1,4,0,6,0,0,0,1,4,2,1,0
48,119,2,10,0,0,0,0,1,1,4,1,1,0
30,205,3,7,2,6,0,1,0,1,6,3,1,0
41,203,2,9,1,5,0,0,0,0,1,1,1,0
26,393,3,0,2,6,0,1,0,0,0,1,1,0
55,108,1,4,0,6,0,1,0,0,0,1,1,0
28,93,3,8,2,6,0,1,0,0,0,3,0,0
51,293,5,1,0,2,0,0,0,0,3,1,1,0
41,272,1,9,1,6,0,0,1,0,0,2,0,0
26,362,5,4,2,6,0,1,0,0,6,1,1,0
47,108,1,0,2,6,0,0,0,0,3,3,1,0
34,108,1,0,2,3,0,1,0,0,3,0,1,0
40,184,4,0,1,2,0,1,1,1,6,1,1,0
29,92,3,1,2,6,0,0,0,1,6,0,1,0
33,41,1,10,1,2,0,1,0,1,7,4,1,0
47,138,5,0,1,6,0,1,0,1,6,0,1,0
42,184,2,0,1,6,0,1,0,0,7,0,1,0
55,63,1,0,1,6,0,1,1,0,7,4,1,0
40,82,4,1,1,2,0,1,0,1,6,4,1,0
34,55,1,1,2,2,0,1,0,1,6,1,1,0
54,90,2,1,1,2,0,1,0,1,6,4,1,0
47,429,1,0,2,6,0,0,0,0,1,2,1,0
39,216,2,7,1,3,0,1,0,0,3,2,1,0
35,240,2,1,1,2,0,0,0,1,6,1,1,0
34,419,5,4,1,3,0,0,0,0,3,3,1,0
31,244,1,9,2,6,0,1,1,0,7,0,1,0
29,158,1,1,2,2,0,1,0,1,4,0,1,0
43,99,5,7,1,3,0,1,0,1,6,0,1,0
33,112,4,1,1,2,0,1,0,0,6,3,1,0
44,124,1,0,2,6,0,1,0,1,7,1,1,0
32,93,2,4,2,6,0,0,0,0,5,1,0,0
37,322,2,1,1,2,0,1,0,1,6,3,1,0
28,261,1,10,2,2,0,0,1,0,1,3,0,1
31,142,2,9,0,6,0,1,0,0,1,2,1,0
33,116,2,1,2,2,0,1,0,0,6,4,0,0
29,420,1,9,2,6,0,1,0,1,6,1,1,0
34,116,5,9,0,5,0,0,0,0,3,3,1,0
34,190,4,9,0,6,0,1,0,1,3,2,1,0
34,178,1,1,0,0,0,0,0,1,4,1,1,0
34,251,1,9,2,5,0,1,0,0,1,3,1,0
36,70,1,0,1,6,0,1,0,0,6,0,1,0
28,118,1,0,1,6,0,0,0,0,3,4,1,0
38,126,1,0,1,6,0,0,0,0,7,2,0,1
34,37,1,0,1,6,0,1,0,1,6,0,1,0
53,60,1,4,1,6,0,1,1,0,7,3,1,0
36,115,2,2,2,6,0,1,0,0,7,4,1,0
26,65,1,8,2,3,0,0,0,0,1,0,0,0
29,44,3,1,2,3,0,0,0,1,6,0,1,0
47,329,3,2,1,6,0,1,0,1,6,0,1,0
33,89,2,10,2,6,0,1,0,0,1,2,1,0
55,125,2,7,0,3,0,1,0,0,6,1,0,0
38,93,1,9,1,5,0,0,0,0,1,0,1,0
30,74,2,9,2,5,0,1,1,0,1,1,1,0
38,122,2,0,1,6,0,0,0,0,1,3,1,0
37,550,2,7,1,3,0,0,0,1,6,2,1,0
30,550,1,9,2,5,0,1,0,1,9,3,0,1
38,273,5,10,1,3,0,0,0,0,3,1,1,0
40,61,4,0,2,6,0,0,1,1,6,1,1,0
26,36,1,9,2,5,0,0,0,1,4,3,1,0
45,74,1,1,0,5,0,1,0,0,3,4,1,0
27,470,1,10,1,3,0,1,1,1,6,1,1,0
55,193,1,5,2,3,0,0,0,1,4,3,1,0
49,109,1,10,1,3,0,1,0,0,1,0,1,0
29,282,1,7,0,3,0,0,0,1,6,4,1,0
47,53,1,0,1,6,0,1,0,0,0,2,0,0
43,246,1,3,1,0,0,0,0,1,6,0,1,0
28,240,2,7,1,3,0,0,0,0,3,4,1,0
35,371,1,0,2,6,0,0,1,0,1,3,1,0
47,68,2,1,2,2,0,1,0,0,0,1,1,0
55,233,1,4,2,5,0,0,0,1,6,4,1,0
36,36,5,1,2,2,0,1,0,1,4,2,1,0
26,550,2,0,1,2,0,0,0,0,3,3,1,1
50,137,2,0,0,2,0,1,1,0,0,1,1,0
27,149,1,0,2,6,0,0,0,0,3,0,1,0
34,36,1,7,0,3,0,1,0,1,9,1,0,0
55,136,3,6,1,6,0,0,0,0,3,1,1,0
36,508,1,4,2,3,0,1,0,0,0,1,1,0
33,120,1,9,1,5,0,1,0,1,6,4,1,0
44,480,2,1,1,2,0,1,0,1,6,2,1,0
28,48,3,7,2,3,0,1,0,0,6,3,0,0
30,85,2,1,1,6,0,0,0,1,6,4,1,0
55,550,5,0,1,0,0,1,0,0,1,3,1,1
52,550,2,5,0,5,0,0,0,0,3,3,1,0
30,67,2,7,0,3,0,1,0,1,6,2,1,0
54,352,3,1,1,0,0,1,0,0,6,1,0,1
36,175,4,6,1,0,0,1,0,0,1,4,1,0
54,550,2,4,0,6,0,1,0,1,6,1,1,0
29,78,1,9,2,6,0,0,0,1,4,1,1,0
45,184,2,7,1,3,0,1,0,0,0,1,0,0
30,313,3,0,1,6,0,0,0,0,0,2,1,1
36,480,1,0,2,3,0,1,0,0,2,1,0,1
30,78,1,9,2,6,0,1,0,0,1,2,1,0
30,117,2,4,1,6,0,1,0,1,6,2,1,0
31,153,3,1,2,0,0,1,0,0,3,1,1,0
44,471,3,1,1,0,0,1,0,1,4,2,1,0
55,198,2,7,1,3,0,0,0,0,5,1,0,0
44,208,1,0,2,6,0,0,0,0,1,1,1,0
55,110,1,0,0,6,0,1,0,0,7,2,1,0
52,139,1,6,2,5,0,0,1,0,7,2,1,0
30,167,3,10,0,3,0,0,0,0,3,0,1,0
41,440,4,3,1,3,0,1,0,0,3,0,1,0
33,203,4,1,2,3,0,1,0,0,5,4,0,1
35,57,1,1,1,1,0,0,1,1,6,2,1,0
55,124,3,9,1,5,0,1,0,0,1,2,1,0
36,146,2,0,0,6,0,1,0,0,1,1,0,1
45,371,3,1,1,6,0,0,0,0,1,3,1,0
50,105,3,1,1,1,0,1,0,1,7,1,1,0
29,186,1,0,1,3,0,1,0,1,4,3,1,0
34,186,2,0,1,6,0,1,0,1,4,0,1,0
31,36,2,7,2,3,0,1,0,1,6,4,1,0
40,130,1,9,1,5,0,1,0,0,7,3,1,0
44,130,1,4,1,6,0,1,0,0,7,1,0,0
32,144,1,0,1,6,0,1,0,0,3,2,1,0
33,143,1,0,2,6,0,1,0,0,0,1,1,0
38,328,1,1,2,1,0,1,0,0,7,4,1,0
55,550,2,5,1,6,0,0,0,0,5,3,2,1
48,203,1,1,1,0,0,1,0,0,3,2,1,0
32,36,2,1,0,0,0,0,0,1,4,1,1,0
40,61,2,4,1,6,0,1,0,1,4,1,1,0
32,247,1,1,2,3,0,0,0,0,4,1,2,1
43,197,2,0,1,6,0,1,0,0,7,2,1,0
29,132,2,0,2,6,0,0,0,0,6,4,1,0
39,126,4,7,1,5,0,1,0,1,6,2,1,0
48,486,2,7,1,6,0,0,0,0,6,1,1,0
31,282,1,9,2,5,0,1,1,0,6,1,1,0
52,402,2,9,1,5,0,1,0,0,3,2,1,0
26,49,1,4,2,6,0,0,1,0,3,2,1,0
